,,,,,,,,
,,,,,,,,
,,standard_name,CF/ACDD,Standard name following CF convention.,O,air_temperature,,
,,coverage_content_type,ACDD,"An ISO 19115-1 code to indicate the source of the data (image, thematicClassification, physicalMeasurement, auxiliaryInformation, qualityInformation, referenceInformation, modelResult, or coordinate).",O,physicalMeasurement,https://www.ngdc.noaa.gov/emma/xsd/schema/resources/Codelist/gmxCodelists.xml#MD_CoverageContentTypeCode,
,,comment,CF,Miscellaneous information about the data or methods used to produce it.,M,"Air temperature is the bulk temperature of the air, not the surface (skin) temperature.",,
,,actual_range,CF,The smallest and the largest valid non-missing values occurring in the variable,O,[ 0.  314.46],,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Log Name,Comment,Long Name,Standard Name,Unit,coverage_content_type,
,,date,Date in format yyyymmdd,date,,,physicalMeasurement,
,,time,Time in format hhmmss.ms,time,time,s,physicalMeasurement,
,,latitude,Latitude is positive northward; its units of degree_north (or equivalent) indicate this explicitly. ,latitude,latitude,degree_north,physicalMeasurement,
,,longitude,Longitude is positive eastward; its units of degree_east (or equivalent) indicate this explicitly. ,longitude,longitude,degree_east,physicalMeasurement,
,,xgps,"x indicates a vector component along the grid x-axis, when this is not true longitude, positive with increasing x.",projection_x_coordinate,projection_x_coordinate,m,auxiliaryInformation,
,,ygps,"y indicates a vector component along the grid y-axis, when this is not true latitude, positive with increasing y.",projection_y_coordinate,projection_y_coordinate,m,auxiliaryInformation,
,,horizontalAccuracy,Horizontal accuracy represents the radius of the margin of error of the measurement,horizontalAccuracy,,m,physicalMeasurement,
,,llhPositionValidFlags,Flag that indicates if the measurements is valid or not (1 for valid).,llhPositionValidFlags,,,auxiliaryInformation,
,,roll,Roll rotation. The angle that identifies the rotation is usually represented with the phi letter.,platform_roll,platform_roll,degree,physicalMeasurement,
,,pitch,Pitch rotation. The angle that identifies the rotation is usually represented with the theta letter.,platform_pitch,platform_pitch,degree,physicalMeasurement,
,,yaw,Yaw is a rotation about the local vertical axis.The angle that identifies the rotation is usually represented with the psi letter.,platform_yaw,platform_yaw,degree,physicalMeasurement,
,,surge velocity,Surge rate is the rate of displacement along an axis that is perpendicular to the local vertical axis and is coplanar with the nominal forward motion direction of the platform. Typically represented with the u letter.,platform_surge_rate_fore,platform_surge_rate_fore,m s-1,auxiliaryInformation,
,,sway velocity,Sway rate is the rate of displacement along an axis that is perpendicular to both the local vertical axis and the nominal forward motion direction of the platform. Typycally represented with the v letter.,platform_sway_rate_starboard,platform_sway_rate_starboard,m s-1,auxiliaryInformation,
,,heave velocity,Heave rate is the rate of displacement along the local vertical axis. Down indicates that positive values of heave rate represent the platform moving down as viewed by an observer on top of the platform facing forward.,platform_heave_rate_down,platform_heave_rate_down,m s-1,auxiliaryInformation,
,,speedAccuracy,Speed accuracy represents the standard deviation of the measured speed.,platform_speed_accuracy,,m s-1,auxiliaryInformation,
,,headingAccuracy,Heading accuracy representes the standard deviation of the measured heading.,platform_track,,degree,auxiliaryInformation,
,,nedVelocityValidFlags,Flag that indicates if the measured velocity is valid or not (1 for valid).,platform_speed_validity,,,auxiliaryInformation,
,,roll rate,Roll rate is the rate of rotation about an axis that is perpendicular to the local vertical axis and is coplanar with the nominal forward motion direction of the platform. Typically represented with the p letter.,platform_roll_rate,platform_roll_rate,degree s-1,physicalMeasurement,
,,pitch rate,"Pitch rate is the rate of rotation about an axis that is perpendicular to both the local vertical axis and the nominal forward motion direction of the platform. Typically represented with the ""q"" letter.",platform_pitch_rate,platform_pitch_rate,degree s-1,physicalMeasurement,
,,yaw rate,Yaw rate is the rate of rotation about the local vertical axis. Typically represented with the r letter.,platform_yaw_rate,platform_yaw_rate,degree s-1,physicalMeasurement,
,,surge_acceleration,Surge acceleration is the acceleration given along an axis that is perpendicular to the local vertical axis and is coplanar with the nominal forward motion direction of the platform.,platform_surge_acceleration_fore,,m s-2,auxiliaryInformation,
,,sway_acceleration,Sway acceleration is the is the acceleration given along an axis that is perpendicular to both the local vertical axis and the nominal forward motion direction of the platform.,platform_sway_acceleration_starboard,,m s-2,auxiliaryInformation,
,,heave_acceleration,Heave acceleration is theis the acceleration given along the local vertical axis. Down indicates that positive values of heave rate represent the platform moving down as viewed by an observer on top of the platform facing forward.,platform_heave_acceleration_down,,m s-2,auxiliaryInformation,
,,azimuth_angle_reference,The reference value of the given platform azimuth angle .,azimuth_angle_reference,,degree,auxiliaryInformation,
,,XX_azimuth_angle,"Platform azimuth angle is the horizontal angle between the line of sight from the observation point to the platform and a reference direction at the observation point, which is often due north.",azimuth_angle,,degree,physicalMeasurement,Change to platform_azimuth_angle
,,thruster_speed_reference,The reference value of the given platform thrust speed .,thruster_speed_reference,,rpm,auxiliaryInformation,
,,XX_thruster_speed,Platform thrust in rpm.,thruster_speed,,rpm,physicalMeasurement,
,,XX_thruster_force,Platform force in Newton.,thruster_force,,N,physicalMeasurement,
,,XX_thruster_current,Current of the thrust.,thruster_current,,Nm,physicalMeasurement,
